id,phase,category,title,prompt,best_for,framework,tags
P1-066,Phase 1,Product Visualization and Explainers,Comparison Chart Visual,"Create a clear product explainer visual for [product] highlighting [feature 1], [feature 2], and [feature 3]. Use sharp rendering, clean callout space, technical accuracy, strong hierarchy, and a professional presentation style.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-visualization-and-explainers, comparison-chart-visual, chatgpt-image-2, visual-prompt"
P1-067,Phase 1,Product Visualization and Explainers,Instructional Step Visual,"Create a clear product explainer visual for [product] highlighting [feature 1], [feature 2], and [feature 3]. Use sharp rendering, clean callout space, technical accuracy, strong hierarchy, and a professional presentation style.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-visualization-and-explainers, instructional-step-visual, chatgpt-image-2, visual-prompt"
P1-068,Phase 1,Product Visualization and Explainers,Product Benefits Infographic,"Create a clear product explainer visual for [product] highlighting [feature 1], [feature 2], and [feature 3]. Use sharp rendering, clean callout space, technical accuracy, strong hierarchy, and a professional presentation style.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-visualization-and-explainers, product-benefits-infographic, chatgpt-image-2, visual-prompt"
P1-069,Phase 1,Product Visualization and Explainers,Cutaway Product View,"Create a clear product explainer visual for [product] highlighting [feature 1], [feature 2], and [feature 3]. Use sharp rendering, clean callout space, technical accuracy, strong hierarchy, and a professional presentation style.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-visualization-and-explainers, cutaway-product-view, chatgpt-image-2, visual-prompt"
P1-070,Phase 1,Product Visualization and Explainers,Assembly Guide Visual,"Create a clear product explainer visual for [product] highlighting [feature 1], [feature 2], and [feature 3]. Use sharp rendering, clean callout space, technical accuracy, strong hierarchy, and a professional presentation style.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-visualization-and-explainers, assembly-guide-visual, chatgpt-image-2, visual-prompt"
P1-071,Phase 1,Advanced Creative Direction,Visual Metaphor Product Ad,"Create a high-end creative direction image for [product/brand] based on [theme or visual metaphor]. Use cinematic lighting, memorable composition, premium detail, strong mood, and enough negative space for campaign copy.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advanced-creative-direction, visual-metaphor-product-ad, chatgpt-image-2, visual-prompt"
P1-072,Phase 1,Advanced Creative Direction,Surreal Product World,"Create a high-end creative direction image for [product/brand] based on [theme or visual metaphor]. Use cinematic lighting, memorable composition, premium detail, strong mood, and enough negative space for campaign copy.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advanced-creative-direction, surreal-product-world, chatgpt-image-2, visual-prompt"
P1-073,Phase 1,Advanced Creative Direction,Monochrome Brand Visual,"Create a high-end creative direction image for [product/brand] based on [theme or visual metaphor]. Use cinematic lighting, memorable composition, premium detail, strong mood, and enough negative space for campaign copy.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advanced-creative-direction, monochrome-brand-visual, chatgpt-image-2, visual-prompt"
P1-074,Phase 1,Advanced Creative Direction,Cinematic Product Scene,"Create a high-end creative direction image for [product/brand] based on [theme or visual metaphor]. Use cinematic lighting, memorable composition, premium detail, strong mood, and enough negative space for campaign copy.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advanced-creative-direction, cinematic-product-scene, chatgpt-image-2, visual-prompt"
P1-075,Phase 1,Advanced Creative Direction,High-Fashion Product Editorial,"Create a high-end creative direction image for [product/brand] based on [theme or visual metaphor]. Use cinematic lighting, memorable composition, premium detail, strong mood, and enough negative space for campaign copy.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advanced-creative-direction, high-fashion-product-editorial, chatgpt-image-2, visual-prompt"
P2-001,Phase 2,Virtual Brand Ambassadors and AI Influencers,Fictional Brand Ambassador Character Bible Portrait,"Create a photorealistic portrait of a fictional brand ambassador for [brand]. The character should feel [personality] and appeal to [target audience]. Use consistent facial structure, natural skin texture, expressive eyes, polished grooming, 85mm lens, f/1.8, cinematic lighting, and a clean background in [brand color palette]. No celebrity resemblance and no real-person likeness.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, fictional-brand-ambassador-character-bible-portrait, chatgpt-image-2, production-ready"
P2-002,Phase 2,Virtual Brand Ambassadors and AI Influencers,AI Influencer Lifestyle Morning Routine,"Create a fictional, brand-safe AI ambassador for [brand]. Maintain consistent facial structure, age range, hairstyle, skin tone, body type, wardrobe language, and brand personality. Use 85mm lens, f/1.8, cinematic light, realistic skin texture, and no celebrity or real-person resemblance.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, ai-influencer-lifestyle-morning-routine, chatgpt-image-2, production-ready"
P2-003,Phase 2,Virtual Brand Ambassadors and AI Influencers,Brand Ambassador Product Endorsement Shot,"Create a fictional, brand-safe AI ambassador for [brand]. Maintain consistent facial structure, age range, hairstyle, skin tone, body type, wardrobe language, and brand personality. Use 85mm lens, f/1.8, cinematic light, realistic skin texture, and no celebrity or real-person resemblance.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, brand-ambassador-product-endorsement-shot, chatgpt-image-2, production-ready"
P2-004,Phase 2,Virtual Brand Ambassadors and AI Influencers,AI Influencer Outfit Variation Campaign,"Create a fictional, brand-safe AI ambassador for [brand]. Maintain consistent facial structure, age range, hairstyle, skin tone, body type, wardrobe language, and brand personality. Use 85mm lens, f/1.8, cinematic light, realistic skin texture, and no celebrity or real-person resemblance.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, ai-influencer-outfit-variation-campaign, chatgpt-image-2, production-ready"
P2-005,Phase 2,Virtual Brand Ambassadors and AI Influencers,Brand Ambassador Social Media Selfie Style,"Create a fictional, brand-safe AI ambassador for [brand]. Maintain consistent facial structure, age range, hairstyle, skin tone, body type, wardrobe language, and brand personality. Use 85mm lens, f/1.8, cinematic light, realistic skin texture, and no celebrity or real-person resemblance.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, brand-ambassador-social-media-selfie-style, chatgpt-image-2, production-ready"
P2-006,Phase 2,Virtual Brand Ambassadors and AI Influencers,AI Influencer Fitness or Wellness Campaign,"Create a fictional, brand-safe AI ambassador for [brand]. Maintain consistent facial structure, age range, hairstyle, skin tone, body type, wardrobe language, and brand personality. Use 85mm lens, f/1.8, cinematic light, realistic skin texture, and no celebrity or real-person resemblance.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, ai-influencer-fitness-or-wellness-campaign, chatgpt-image-2, production-ready"
P2-007,Phase 2,Virtual Brand Ambassadors and AI Influencers,Brand Ambassador Seasonal Campaign,"Create a fictional, brand-safe AI ambassador for [brand]. Maintain consistent facial structure, age range, hairstyle, skin tone, body type, wardrobe language, and brand personality. Use 85mm lens, f/1.8, cinematic light, realistic skin texture, and no celebrity or real-person resemblance.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, brand-ambassador-seasonal-campaign, chatgpt-image-2, production-ready"
P2-008,Phase 2,Virtual Brand Ambassadors and AI Influencers,AI Influencer Travel Campaign,"Create a fictional, brand-safe AI ambassador for [brand]. Maintain consistent facial structure, age range, hairstyle, skin tone, body type, wardrobe language, and brand personality. Use 85mm lens, f/1.8, cinematic light, realistic skin texture, and no celebrity or real-person resemblance.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, ai-influencer-travel-campaign, chatgpt-image-2, production-ready"
P2-009,Phase 2,Virtual Brand Ambassadors and AI Influencers,Brand Ambassador Multi-Use Headshot Pack,"Create a fictional, brand-safe AI ambassador for [brand]. Maintain consistent facial structure, age range, hairstyle, skin tone, body type, wardrobe language, and brand personality. Use 85mm lens, f/1.8, cinematic light, realistic skin texture, and no celebrity or real-person resemblance.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, brand-ambassador-multi-use-headshot-pack, chatgpt-image-2, production-ready"
P2-010,Phase 2,Virtual Brand Ambassadors and AI Influencers,AI Influencer Product Tutorial Frame,"Create a fictional, brand-safe AI ambassador for [brand]. Maintain consistent facial structure, age range, hairstyle, skin tone, body type, wardrobe language, and brand personality. Use 85mm lens, f/1.8, cinematic light, realistic skin texture, and no celebrity or real-person resemblance.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","virtual-brand-ambassadors-and-ai-influencers, ai-influencer-product-tutorial-frame, chatgpt-image-2, production-ready"
P2-011,Phase 2,Commercial Asset Bundles,Corporate Abstract Art Bundle,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, corporate-abstract-art-bundle, chatgpt-image-2, production-ready"
P2-012,Phase 2,Commercial Asset Bundles,AI Corporate Office Art Pack,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, ai-corporate-office-art-pack, chatgpt-image-2, production-ready"
P2-013,Phase 2,Commercial Asset Bundles,SaaS Blog Featured Image,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, saas-blog-featured-image, chatgpt-image-2, production-ready"
P2-014,Phase 2,Commercial Asset Bundles,Marketing Clipart Bundle Element,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, marketing-clipart-bundle-element, chatgpt-image-2, production-ready"
P2-015,Phase 2,Commercial Asset Bundles,Business Icon Set Image,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, business-icon-set-image, chatgpt-image-2, production-ready"
P2-016,Phase 2,Commercial Asset Bundles,Website Background Texture Pack,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, website-background-texture-pack, chatgpt-image-2, production-ready"
P2-017,Phase 2,Commercial Asset Bundles,Presentation Cover Art,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, presentation-cover-art, chatgpt-image-2, production-ready"
P2-018,Phase 2,Commercial Asset Bundles,AI-Generated Stock Photo Bundle Image,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, ai-generated-stock-photo-bundle-image, chatgpt-image-2, production-ready"
P2-019,Phase 2,Commercial Asset Bundles,Social Media Background Pack,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, social-media-background-pack, chatgpt-image-2, production-ready"
P2-020,Phase 2,Commercial Asset Bundles,Newsletter Header Image,"Create a reusable commercial asset for [industry/brand] that can work in a bundle. Use consistent colors, clean composition, scalable style, strong negative space, and a professional marketing-ready finish. No random text or real logos.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","commercial-asset-bundles, newsletter-header-image, chatgpt-image-2, production-ready"
P2-021,Phase 2,Automated Print-on-Demand Designs,Trending T-Shirt Typography Design,"Create a print-on-demand t-shirt design featuring the phrase [slogan]. Use bold typography, clean hierarchy, strong contrast, and a commercially appealing style for [target niche]. Center the design on a transparent background. No mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, trending-t-shirt-typography-design, chatgpt-image-2, production-ready"
P2-022,Phase 2,Automated Print-on-Demand Designs,Retro Mascot T-Shirt Design,"Create a print-on-demand design for [niche] featuring [slogan or symbol]. Use centered composition, bold readable typography, clean outlines, strong contrast, and a transparent background. No product mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, retro-mascot-t-shirt-design, chatgpt-image-2, production-ready"
P2-023,Phase 2,Automated Print-on-Demand Designs,Minimalist Mug Design,"Create a print-on-demand design for [niche] featuring [slogan or symbol]. Use centered composition, bold readable typography, clean outlines, strong contrast, and a transparent background. No product mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, minimalist-mug-design, chatgpt-image-2, production-ready"
P2-024,Phase 2,Automated Print-on-Demand Designs,Sticker Sheet Design,"Create a print-on-demand design for [niche] featuring [slogan or symbol]. Use centered composition, bold readable typography, clean outlines, strong contrast, and a transparent background. No product mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, sticker-sheet-design, chatgpt-image-2, production-ready"
P2-025,Phase 2,Automated Print-on-Demand Designs,Niche Quote Wall Art Print,"Create a print-on-demand design for [niche] featuring [slogan or symbol]. Use centered composition, bold readable typography, clean outlines, strong contrast, and a transparent background. No product mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, niche-quote-wall-art-print, chatgpt-image-2, production-ready"
P2-026,Phase 2,Automated Print-on-Demand Designs,Trendy Tote Bag Graphic,"Create a print-on-demand design for [niche] featuring [slogan or symbol]. Use centered composition, bold readable typography, clean outlines, strong contrast, and a transparent background. No product mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, trendy-tote-bag-graphic, chatgpt-image-2, production-ready"
P2-027,Phase 2,Automated Print-on-Demand Designs,Holiday POD Design,"Create a print-on-demand design for [niche] featuring [slogan or symbol]. Use centered composition, bold readable typography, clean outlines, strong contrast, and a transparent background. No product mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, holiday-pod-design, chatgpt-image-2, production-ready"
P2-028,Phase 2,Automated Print-on-Demand Designs,Pet Lover POD Design,"Create a print-on-demand design for [niche] featuring [slogan or symbol]. Use centered composition, bold readable typography, clean outlines, strong contrast, and a transparent background. No product mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, pet-lover-pod-design, chatgpt-image-2, production-ready"
P2-029,Phase 2,Automated Print-on-Demand Designs,Teacher or Classroom POD Design,"Create a print-on-demand design for [niche] featuring [slogan or symbol]. Use centered composition, bold readable typography, clean outlines, strong contrast, and a transparent background. No product mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, teacher-or-classroom-pod-design, chatgpt-image-2, production-ready"
P2-030,Phase 2,Automated Print-on-Demand Designs,Fitness Niche POD Design,"Create a print-on-demand design for [niche] featuring [slogan or symbol]. Use centered composition, bold readable typography, clean outlines, strong contrast, and a transparent background. No product mockup, no model, no extra words.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","automated-print-on-demand-designs, fitness-niche-pod-design, chatgpt-image-2, production-ready"
P2-031,Phase 2,Ad Creative Optimization,Product Ad Variation: Background Test,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-background-test, chatgpt-image-2, production-ready"
P2-032,Phase 2,Ad Creative Optimization,Product Ad Variation: Emotional Angle,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-emotional-angle, chatgpt-image-2, production-ready"
P2-033,Phase 2,Ad Creative Optimization,Product Ad Variation: Problem-Solution Visual,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-problem-solution-visual, chatgpt-image-2, production-ready"
P2-034,Phase 2,Ad Creative Optimization,Product Ad Variation: Benefit Hero,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-benefit-hero, chatgpt-image-2, production-ready"
P2-035,Phase 2,Ad Creative Optimization,Product Ad Variation: Audience-Specific Scene,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-audience-specific-scene, chatgpt-image-2, production-ready"
P2-036,Phase 2,Ad Creative Optimization,Product Ad Variation: Luxury Positioning,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-luxury-positioning, chatgpt-image-2, production-ready"
P2-037,Phase 2,Ad Creative Optimization,Product Ad Variation: UGC Style,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-ugc-style, chatgpt-image-2, production-ready"
P2-038,Phase 2,Ad Creative Optimization,Product Ad Variation: Offer Graphic Base,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-offer-graphic-base, chatgpt-image-2, production-ready"
P2-039,Phase 2,Ad Creative Optimization,Product Ad Variation: Trust Builder,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-trust-builder, chatgpt-image-2, production-ready"
P2-040,Phase 2,Ad Creative Optimization,Product Ad Variation: Urgency Campaign,"Create an ad creative variation for [product/service] testing [single variable]. Keep product angle and brand style consistent, leave headline and CTA space, use commercial lighting, and make the visual suitable for A/B testing.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","ad-creative-optimization, product-ad-variation-urgency-campaign, chatgpt-image-2, production-ready"
P2-041,Phase 2,Photorealistic Business and Lifestyle,Professional Founder Headshot,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, professional-founder-headshot, chatgpt-image-2, production-ready"
P2-042,Phase 2,Photorealistic Business and Lifestyle,Service Business Lifestyle Image,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, service-business-lifestyle-image, chatgpt-image-2, production-ready"
P2-043,Phase 2,Photorealistic Business and Lifestyle,Premium Personal Brand Portrait,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, premium-personal-brand-portrait, chatgpt-image-2, production-ready"
P2-044,Phase 2,Photorealistic Business and Lifestyle,Team Collaboration Stock Image,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, team-collaboration-stock-image, chatgpt-image-2, production-ready"
P2-045,Phase 2,Photorealistic Business and Lifestyle,Coach or Consultant Brand Image,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, coach-or-consultant-brand-image, chatgpt-image-2, production-ready"
P2-046,Phase 2,Photorealistic Business and Lifestyle,Local Business Website Hero,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, local-business-website-hero, chatgpt-image-2, production-ready"
P2-047,Phase 2,Photorealistic Business and Lifestyle,Lifestyle Social Content Image,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, lifestyle-social-content-image, chatgpt-image-2, production-ready"
P2-048,Phase 2,Photorealistic Business and Lifestyle,Professional Workshop or Webinar Image,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, professional-workshop-or-webinar-image, chatgpt-image-2, production-ready"
P2-049,Phase 2,Photorealistic Business and Lifestyle,Health and Wellness Lifestyle Image,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, health-and-wellness-lifestyle-image, chatgpt-image-2, production-ready"
P2-050,Phase 2,Photorealistic Business and Lifestyle,Luxury Client Experience Image,"Create a photorealistic business or lifestyle image for [brand/service]. Use natural expressions, professional styling, realistic environment, 85mm lens, f/1.8, bokeh background, cinematic lighting, and strong commercial usability.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","photorealistic-business-and-lifestyle, luxury-client-experience-image, chatgpt-image-2, production-ready"
P2-051,Phase 2,Product-Focused E-Commerce and Mockups,Minimalist Studio Product Hero,"Create a sharp e-commerce product image of [product]. Use a clean background or [surface], accurate proportions, soft shadows, crisp focus, realistic materials, and clear product visibility. No labels unless supplied, no grids, no split screen.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","product-focused-e-commerce-and-mockups, minimalist-studio-product-hero, chatgpt-image-2, production-ready"
P2-052,Phase 2,Product-Focused E-Commerce and Mockups,Natural Stone Product Mockup,"Create a photorealistic standalone product mockup of [product] resting on a natural stone surface. Bathe the scene in soft directional morning sunlight with realistic shadows and cinematic depth of field. Keep a clean singular focus. Strictly no labels unless supplied, no grids, and no split-screen layouts.","Production services, client deliverables, ad testing, asset bundles, e-commerce, brand systems","S.E.E.D. - Subject, Elements, Environment, Details","product-focused-e-commerce-and-mockups, natural-stone-product-mockup, chatgpt-image-2, production-ready"
